Frequency - Amplitude	Voltage amplitude - Amplitude
2124.03	1.98092
2125.1	1.98101
2126.04	1.98126
2126.97	1.98112
2128.11	1.98095
2129.01	1.98091
2129.93	1.98114
2131.02	1.9808
2131.97	1.9809
2132.92	1.98081
2134.09	1.98053
2135	1.98092
2136.03	1.98067
2137	1.98078
2138.03	1.98063
2139.02	1.98079
2140	1.98089
2140.93	1.98081
2142.03	1.98084
2142.98	1.9806
2144.1	1.98078
2145.11	1.98087
2145.97	1.98069
2147.03	1.9805
2148.01	1.98082
2148.95	1.98038
2150.05	1.98026
2150.97	1.9805
2151.91	1.98058
2153.03	1.98054
2153.96	1.98002
2155.07	1.98055
2155.99	1.98075
2156.86	1.98035
2158.07	1.98017
2158.93	1.98015
2159.95	1.98038
2161.09	1.98048
2161.96	1.98056
2163.17	1.98021
2164.03	1.9802
2164.98	1.98024
2166.07	1.98014
2166.98	1.98005
2167.89	1.98022
2169.03	1.9801
2170.02	1.98041
2170.98	1.9802
2172.04	1.98049
2172.97	1.98035
2174.05	1.9799
2175.04	1.97995
2175.92	1.97994
2177.01	1.98
2177.92	1.98005
2178.91	1.98009
2180.06	1.98001
2180.97	1.98017
2182.14	1.98018
2183.02	1.98008
2183.94	1.97987
2185.07	1.97991
2186.02	1.97996
2186.93	1.97968
2188.02	1.97964
2188.94	1.97976
2190	1.97988
2191.08	1.97958
2191.96	1.97955
2193.09	1.9793
2194	1.9799
2194.9	1.9797
2196.05	1.9794
2196.96	1.97969
2197.93	1.97961
2199.06	1.97964
2200.01	1.97965
2201.14	1.97918
2202.01	1.97946
2202.93	1.97933
2204.09	1.9797
2205.02	1.97916
2205.92	1.97947
2207.03	1.97944
2207.98	1.97935
2208.89	1.97918
2210.01	1.97914
2210.99	1.97937
2212.05	1.97923
2213.02	1.97938
2213.96	1.97897
2215.03	1.97911
2215.99	1.97909
2216.89	1.97923
2218.12	1.97907
2218.99	1.97945
2220.02	1.97895
2221.07	1.97919
2221.92	1.97903
2223.02	1.97882
2224	1.97879
2224.96	1.97891
2226.12	1.97898
2226.91	1.97894
2227.97	1.97875
2229	1.97887
2229.92	1.9788
2231.11	1.97899
2231.95	1.97866
2232.93	1.97889
2234.03	1.97887
2234.97	1.97878
2235.86	1.97886
2237.09	1.97864
2237.91	1.97854
2239.08	1.97832
2240.01	1.97876
2240.91	1.97871
2242.02	1.9784
2242.95	1.97835
2243.97	1.97874
2245	1.97849
2245.96	1.97858
2246.91	1.97841
2247.98	1.9783
2248.96	1.97827
2250.09	1.97829
2251.08	1.97823
2251.93	1.97816
2253.08	1.97847
2253.98	1.97823
2254.94	1.97771
2256.05	1.97798
2257	1.97799
2258.05	1.97815
2258.98	1.97814
2259.91	1.97788
2261.08	1.97786
2261.99	1.97784
2262.89	1.9776
2264.06	1.97755
2264.94	1.97789
2265.89	1.97782
2267.03	1.97802
2267.95	1.97766
2269.04	1.97769
2270.04	1.97767
2270.93	1.97762
2272.08	1.97762
2272.91	1.97763
2273.94	1.97776
2275.02	1.97781
2276.01	1.9775
2277.07	1.9775
2278	1.97726
2278.92	1.97706
2280.07	1.97735
2281	1.97755
2281.96	1.97734
2283.04	1.97711
2283.94	1.97703
2285.11	1.97717
2286.01	1.97733
2286.96	1.97723
2288.11	1.97733
2288.97	1.97727
2289.93	1.97691
2291.11	1.97713
2291.99	1.97744
2292.93	1.97689
2294	1.97693
2294.92	1.97693
2296.1	1.9768
2297.01	1.97697
2297.9	1.97652
2299.06	1.97673
2299.93	1.97662
2300.96	1.97652
2302.01	1.97662
2302.92	1.97653
2304.08	1.97662
2304.99	1.97644
2305.94	1.97647
2307.05	1.97638
2308	1.9764
2308.92	1.97668
2310.03	1.9769
2310.96	1.9763
2311.88	1.97632
2312.99	1.97615
2313.94	1.97623
2315.06	1.97618
2316.03	1.97644
2316.91	1.97613
2318.05	1.9761
2318.98	1.97585
2319.9	1.97613
2321.01	1.97582
2321.94	1.97615
2323.03	1.97602
2324	1.9759
2324.98	1.97598
2326.1	1.97562
2327	1.97598
2327.86	1.97555
2329.02	1.97568
2329.95	1.97576
2330.95	1.97563
2332.03	1.9756
2332.98	1.97572
2334.01	1.97553
2334.93	1.9754
2335.84	1.97545
2337.04	1.97548
2337.99	1.97528
2338.87	1.97518
2340.03	1.97524
2340.92	1.97518
2342.08	1.97509
2343.04	1.97532
2343.95	1.97495
2345.08	1.9748
2345.96	1.97506
2346.92	1.97461
2348.11	1.97479
2349.02	1.97496
2349.89	1.97488
2351.04	1.97485
2351.9	1.97494
2353.06	1.97456
2354.05	1.9748
2354.93	1.9745
2356.06	1.97465
2356.98	1.9745
2357.88	1.97433
2359.09	1.97425
2360.01	1.97449
2361.1	1.97415
2361.98	1.97437
2362.91	1.97412
2364.04	1.97433
2365	1.97417
2365.91	1.97395
2367.02	1.97407
2367.96	1.97403
2368.92	1.97402
2370	1.97378
2370.97	1.97377
2372.07	1.97351
2372.94	1.97381
2373.93	1.97377
2375.05	1.97365
2376.01	1.9733
2376.85	1.97366
2378.02	1.97377
2378.87	1.97332
2380.1	1.97321
2381	1.97322
2381.96	1.97299
2383.04	1.97301
2383.98	1.97319
2384.95	1.9731
2386.05	1.97308
2387.9	1.97267
2388.98	1.97292
2389.97	1.97305
2391.03	1.973
2392	1.97268
2392.9	1.97265
2394.04	1.97241
2394.97	1.97255
2395.02	1.97257
2397.08	1.9725
2397.97	1.97235
2399.1	1.97231
2399.95	1.97216
2400.9	1.97183
2402.11	1.97213
2402.94	1.97198
2403.9	1.97196
2405.01	1.97205
2405.96	1.97173
2406.87	1.97186
2408	1.972
2408.92	1.97172
2410.08	1.97162
2410.98	1.97161
2411.9	1.97173
2413.07	1.97157
2414.01	1.97158
2414.9	1.97131
2416.08	1.97137
2416.95	1.97155
2418.01	1.97127
2418.99	1.97107
2419.91	1.97123
2421.04	1.97106
2421.98	1.97085
2422.9	1.97062
2424.07	1.97062
2424.97	1.97106
2425.87	1.97059
2427.05	1.97077
2427.93	1.97076
2429.08	1.97068
2430.01	1.97074
2430.92	1.97059
2432.02	1.97041
2432.94	1.97042
2433.92	1.97018
2435.04	1.97027
2435.9	1.96999
2437.06	1.96992
2437.99	1.97024
2438.94	1.97016
2440.03	1.96971
2440.96	1.96991
2441.88	1.96946
2443	1.96948
2443.94	1.96948
2444.91	1.96948
2446.03	1.96933
2446.99	1.96914
2448.07	1.96916
2449.09	1.96887
2449.92	1.96933
2451.03	1.96915
2451.95	1.96878
2452.85	1.96864
2453.98	1.96889
2454.94	1.96852
2456.07	1.96842
2456.99	1.96852
2457.97	1.96838
2459.06	1.96833
2459.96	1.96839
2460.91	1.9682
2462.08	1.96806
2462.94	1.96785
2463.88	1.96772
2465	1.96777
2465.88	1.96775
2467.1	1.96763
2468.01	1.96729
2468.93	1.9674
2470.02	1.96697
2470.96	1.9674
2471.87	1.96736
2473.03	1.96694
2473.91	1.96692
2475.04	1.96693
2476.03	1.96699
2476.92	1.96679
2478	1.96662
2479.01	1.96655
2479.93	1.9666
2480.99	1.96653
2481.93	1.9663
2483.1	1.96623
2484.03	1.96606
2484.9	1.9662
2486.03	1.96633
2486.99	1.96579
2487.95	1.96593
2489.07	1.96568
2489.95	1.96578
2490.9	1.96554
2492.05	1.96557
2492.92	1.96539
2494.07	1.9656
2494.97	1.96493
2496	1.96485
2497.03	1.96461
2497.94	1.96471
2498.93	1.96491
2500.09	1.96481
2500.98	1.96449
2502.04	1.96437
2503	1.96422
2503.97	1.96406
2505.05	1.96388
2506	1.96384
2506.89	1.96391
2508.1	1.96353
2508.99	1.96375
2509.91	1.96389
2511.06	1.96357
2512	1.96315
2513.09	1.96322
2514.04	1.96296
2514.95	1.96289
2516.11	1.96283
2516.95	1.96282
2517.93	1.96254
2518.99	1.96263
2520.01	1.96237
2521.09	1.96226
2522.02	1.96211
2522.99	1.96202
2524.05	1.96192
2524.96	1.96156
2525.91	1.96165
2527.08	1.96138
2527.95	1.96149
2528.96	1.96104
2530.01	1.96117
2530.91	1.96101
2532.01	1.96092
2532.98	1.96085
2533.9	1.96064
2535.07	1.96027
2535.93	1.96038
2536.85	1.96021
2538.07	1.96001
2538.98	1.95984
2540.11	1.95983
2541.03	1.95959
2541.92	1.95936
2543.11	1.9592
2544.02	1.95913
2544.93	1.95902
2545.98	1.95885
2547.03	1.95873
2547.94	1.95864
2548.98	1.95846
2550.03	1.95819
2551.1	1.9583
2552.94	1.95758
2554.07	1.95774
2554.97	1.95746
2555.89	1.95737
2557.02	1.95727
2557.96	1.95708
2559.07	1.9566
2560.02	1.95651
2560.94	1.95658
2562.03	1.9566
2563.01	1.95613
2563.91	1.95601
2565.09	1.95575
2566	1.95559
2566.93	1.95527
2568.02	1.95517
2568.97	1.95484
2570.04	1.95477
2570.96	1.9548
2571.92	1.95475
2573.07	1.95458
2574	1.95434
2574.98	1.95423
2576.07	1.95393
2576.98	1.95343
2578.09	1.95352
2579.95	1.95265
2581.1	1.95275
2582.06	1.95264
2583.01	1.95224
2584	1.95208
2585.02	1.95159
2585.96	1.95165
2586.98	1.95164
2588	1.95107
2589.03	1.951
2590.01	1.95088
2590.92	1.95073
2592.01	1.95023
2593.01	1.9506
2593.99	1.94981
2595.08	1.94968
2595.94	1.94946
2597.09	1.94941
2598.04	1.94897
2599.01	1.9488
2600.06	1.94862
2601.03	1.94846
2601.94	1.94823
2603.11	1.94795
2603.94	1.94783
2604.94	1.94735
2606.07	1.94719
2607	1.94667
2608.08	1.94634
2609.04	1.94648
2610.01	1.94587
2611.08	1.94561
2612.03	1.9457
2612.99	1.94514
2614.05	1.94486
2614.98	1.94454
2616.12	1.94445
2617.02	1.94397
2617.98	1.94373
2619.09	1.94355
2620.06	1.94317
2620.92	1.94303
2622.16	1.94276
2623.02	1.94222
2623.86	1.94199
2625.08	1.94175
2625.93	1.9414
2627.09	1.94107
2628.12	1.94092
2628.96	1.94054
2630.06	1.94033
2631	1.94001
2632.02	1.93916
2633.08	1.9393
2633.98	1.93876
2635.06	1.93863
2636	1.93845
2636.97	1.938
2638.15	1.93727
2639.07	1.93744
2639.99	1.93705
2641.18	1.93647
2642.01	1.93597
2643.01	1.93583
2644.05	1.93533
2645.01	1.93487
2646.22	1.93459
2647.09	1.93439
2647.98	1.93413
2649.17	1.93377
2650.11	1.93306
2650.96	1.93289
2652.14	1.93217
2653.04	1.93184
2654.15	1.93134
2655.12	1.93085
2656.06	1.93061
2657.06	1.93038
2658.06	1.92979
2659.09	1.92934
2660.09	1.92877
2661.01	1.92869
2661.07	1.92855
2663.13	1.92727
2664.03	1.92699
2665.12	1.92651
2666.05	1.92639
2667.04	1.92573
2668.03	1.9254
2669.09	1.92462
2669.93	1.92409
2671.14	1.92364
2672.04	1.92283
2673.06	1.92284
2674.16	1.92212
2674.97	1.92154
2676.17	1.92105
2677.08	1.9206
2678.02	1.91988
2679.15	1.91916
2680.08	1.91885
2681.22	1.91807
2682.09	1.91773
2683.09	1.91728
2684.2	1.91637
2685.11	1.91581
2686.07	1.91518
2687.09	1.91463
2688.17	1.91415
2689.03	1.91344
2690.18	1.91283
2691.04	1.91192
2692.18	1.91112
2693.2	1.91054
2694	1.91009
2695.11	1.90933
2696.14	1.90842
2697.1	1.90799
2698.22	1.90701
2699.08	1.90601
2700.25	1.90546
2701.16	1.90472
2702.03	1.90397
2703.22	1.90303
2704.22	1.90255
2705.01	1.90158
2706.12	1.90063
2707.17	1.90013
2708.07	1.89945
2709.16	1.89805
2710.17	1.89738
2711.26	1.89642
2712.14	1.89566
