Frequency - Amplitude	Voltage amplitude - Amplitude
1004.23	1.97161
1005.23	1.98102
1009.49	1.98113
1015.24	1.98039
1019.45	1.98186
1025.44	1.98009
1030.34	1.97984
1034.63	1.98173
1039.43	1.98142
1045.16	1.98012
1049.58	1.98137
1054.5	1.98161
1059.63	1.98149
1064.47	1.9814
1069.59	1.98119
1074.65	1.98097
1079.6	1.98146
1085.52	1.97946
1090.58	1.97947
1095.65	1.9795
1099.78	1.98072
1105.45	1.97945
1110.45	1.97953
1115.52	1.97963
1119.77	1.98034
1124.96	1.98044
1130.52	1.97943
1134.74	1.98012
1139.82	1.98025
1145.29	1.97981
1150.36	1.97996
1155.02	1.98013
1160	1.97996
1165	1.97999
1169.96	1.97971
1174.97	1.97968
1180.31	1.98025
1184.94	1.97971
1190.19	1.9801
1195.17	1.98023
1199.94	1.97993
1204.97	1.97976
1210.14	1.98001
1215.06	1.97975
1220.11	1.97977
1225.18	1.97967
1230.05	1.98002
1234.89	1.97996
1239.85	1.97989
1245.01	1.98041
1250.11	1.98027
1255.19	1.98015
1260.22	1.97997
1265.11	1.98023
1270.15	1.97998
1274.98	1.98007
1280.07	1.98009
1285.07	1.97988
1290.3	1.98018
1295.07	1.98004
1299.95	1.98011
1304.88	1.98002
1310	1.98001
1315.05	1.97957
1320.1	1.97997
1325.2	1.97996
1329.96	1.97993
1335.05	1.98021
1340.05	1.98015
1345.13	1.98018
1350.1	1.97987
1355.17	1.97981
1359.94	1.97983
1365.01	1.9799
1369.94	1.97995
1375.01	1.97967
1380.06	1.9798
1385.13	1.97986
1390.22	1.97982
1394.96	1.97949
1400.07	1.97979
1405.03	1.97993
1410.09	1.97969
1415.04	1.97958
1420.07	1.97976
1424.99	1.97968
1429.95	1.97957
1434.98	1.97948
1439.99	1.97939
1445.08	1.97982
1450.01	1.9796
1454.92	1.97943
1459.97	1.97954
1464.98	1.97964
1469.99	1.97941
1475.01	1.97942
1480.01	1.97918
1485.14	1.97984
1489.94	1.97967
1494.95	1.97932
1499.99	1.97952
1505.03	1.97932
1510.03	1.97941
1515.05	1.97914
1519.95	1.97936
1524.95	1.97927
1530.01	1.97947
1535.01	1.97935
1540.02	1.97934
1545.03	1.97908
1549.96	1.97914
1554.92	1.9792
1559.92	1.97919
1565.05	1.97956
1570.05	1.97922
1575.03	1.97895
1580.09	1.97923
1584.93	1.97929
1589.98	1.97908
1595	1.97911
1600.03	1.9793
1605.06	1.979
1610.07	1.97877
1614.9	1.97898
1619.96	1.97913
1625.01	1.97916
1630.06	1.97934
1635.05	1.97902
1640.15	1.97905
1645.09	1.9787
1650.01	1.97878
1654.97	1.97894
1659.95	1.97874
1665	1.97892
1670.11	1.97905
1675.13	1.97894
1679.94	1.97866
1684.96	1.97884
1690.04	1.97865
1695.03	1.97862
1700.07	1.97876
1705.11	1.97859
1709.94	1.97877
1714.96	1.97877
1720	1.97876
1725.04	1.97857
1730.03	1.97857
1735.06	1.97858
1740.15	1.97859
1744.95	1.9786
1750.05	1.9783
1754.97	1.97846
1760.01	1.97843
1765.04	1.97823
1770.04	1.97846
1774.94	1.97822
1779.98	1.97839
1785.05	1.97826
1790.06	1.97851
1795.1	1.97841
1800.11	1.97809
1805.12	1.97841
1809.96	1.97803
1814.93	1.97812
1820.07	1.97807
1825.06	1.97805
1830.11	1.97796
1835.17	1.97793
1839.96	1.97818
1844.95	1.97808
1850	1.97791
1855	1.9779
1860.08	1.97795
1865.17	1.97799
1869.91	1.97791
1879.96	1.97772
1885.04	1.97763
1890.04	1.97765
1895.1	1.97768
1900.11	1.97724
1904.92	1.97746
1909.97	1.97746
1914.99	1.97707
1919.98	1.97767
