Frequency - Amplitude	Voltage amplitude - Amplitude
2443.91	1.64663
2446.05	1.64415
2448.11	1.64161
2452.07	1.63684
2454.06	1.63398
2456.05	1.63144
2458.02	1.62879
2460.07	1.62572
2462.09	1.62316
2463.91	1.6208
2466.01	1.61803
2468	1.61498
2470.12	1.61203
2471.99	1.60937
2474.03	1.60634
2476.1	1.60322
2478.14	1.59996
2479.9	1.59725
2482.03	1.59428
2484.13	1.5909
2486.08	1.58772
2486.15	1.58745
2490.05	1.58116
2492.08	1.57799
2494.18	1.5744
2496.02	1.57125
2498.13	1.56786
2500.07	1.56439
2502.17	1.56078
2504.11	1.55734
2506.17	1.55379
2508.13	1.55019
2510.12	1.54653
2512.11	1.54295
2514.08	1.53887
2516.07	1.5352
2518.08	1.53112
2520.04	1.52716
2522.26	1.52305
2524.25	1.51906
2526.05	1.51532
2528.1	1.51099
2530.19	1.5068
2532.22	1.50262
2534.14	1.49831
2536.22	1.49402
2538.16	1.48973
2540.3	1.48507
2542.19	1.48148
2544.09	1.47673
2546.24	1.47198
2548.19	1.46742
2550.15	1.46274
2552.3	1.45774
2554.3	1.45308
2556.16	1.4484
2558.2	1.44361
2560.19	1.43864
2562.33	1.4331
2564.2	1.42848
2566.17	1.42328
2568.36	1.41756
2570.31	1.41244
2572.23	1.4072
2574.16	1.4019
2576.36	1.39603
2578.39	1.39051
2580.26	1.38507
2582.32	1.37906
2584.34	1.37345
2586.2	1.3676
2588.25	1.36183
2590.29	1.35547
2592.35	1.34959
2594.24	1.34349
2596.2	1.3369
2598.39	1.33077
2600.34	1.32425
2602.3	1.3183
2604.31	1.31156
2606.5	1.30453
2608.5	1.29807
2610.31	1.29151
2612.46	1.28456
2614.4	1.27758
2616.51	1.27042
2618.35	1.26396
2620.48	1.25676
2622.56	1.24913
2624.4	1.24229
2626.38	1.2346
2628.44	1.2273
2630.49	1.21946
2632.42	1.21274
2634.36	1.20502
2636.56	1.19706
2638.53	1.18882
2640.52	1.18127
2642.53	1.17333
2644.46	1.16503
2646.68	1.15653
2648.45	1.14916
2650.59	1.14085
2652.55	1.132
2654.71	1.12383
2656.64	1.11556
2658.63	1.1071
2660.57	1.09829
2662.58	1.0896
2664.55	1.0814
2666.7	1.072
2668.8	1.06341
2670.83	1.05469
2672.35	1.04538
2674.75	1.03646
2676.76	1.02713
2678.5	1.0183
2680.88	1.00867
2682.75	0.999348
2684.86	0.989875
2686.62	0.981035
2688.73	0.97121
2690.78	0.96149
2692.82	0.951548
2694.96	0.942413
2696.86	0.932457
2698.78	0.922488
2700.82	0.912557
2702.87	0.903506
2704.95	0.89334
2706.79	0.883261
2708.85	0.873868
2710.95	0.863837
2712.95	0.853386
2715.19	0.842977
2716.85	0.833942
2719.08	0.823281
2720.99	0.813205
2723.16	0.803282
2724.68	0.793712
2727.17	0.788637
2729.01	0.773244
2730.88	0.763042
2732.86	0.753713
2735.13	0.742857
2737.35	0.733099
2739.3	0.722516
2740.99	0.713451
2743.16	0.703698
2745.21	0.692951
2747.14	0.683995
2749.07	0.673533
2751.18	0.664106
2753.26	0.654199
2755.2	0.645128
2757.19	0.635075
2759.4	0.625637
2761.34	0.615701
2763.23	0.607153
2765.39	0.597421
2767.25	0.588242
2769.37	0.578674
2771.5	0.570082
2773.38	0.561409
2775.31	0.552171
2777.51	0.543602
2779.21	0.535302
2780.92	0.52725
2783.42	0.519276
2785.27	0.511338
2787.23	0.503663
2789.24	0.495626
2791.37	0.488151
2793.17	0.481753
2795.12	0.47471
2797.15	0.467404
2799.16	0.460869
2800.98	0.455009
2802.76	0.449319
2804.61	0.443162
2807.21	0.437553
2808.8	0.433131
2810.83	0.428119
2812.29	0.423611
2814.81	0.418968
2816.47	0.415868
2818.41	0.412133
2820.35	0.409054
2822.14	0.405893
2824.28	0.403842
2825.96	0.401547
2828.1	0.399591
2830.12	0.398442
2831.85	0.397201
2833.61	0.396504
2835.9	0.396024
2837.44	0.396389
2839.27	0.396712
2841.24	0.397154
2843.08	0.39858
2844.93	0.39992
2847.23	0.401623
2848.94	0.403966
2851.06	0.406384
2852.61	0.408806
2854.64	0.411705
2857.01	0.415286
2858.87	0.418996
2860.77	0.422479
2862.61	0.426631
2864.32	0.431064
2866.24	0.43508
2868.4	0.44018
2870.43	0.445332
2872.32	0.450527
2874.32	0.455546
2876.35	0.461167
2878.15	0.467338
2880.35	0.472851
2882.44	0.478599
2884.33	0.484998
2886.2	0.491705
2888.47	0.498276
2890.29	0.504245
2892.16	0.510886
2894.38	0.517936
2896.39	0.524748
2898.14	0.531372
2900.15	0.538662
2902.32	0.545706
2904.33	0.552176
2906.45	0.55957
2908.45	0.567075
2910.22	0.574441
2912.32	0.581031
2914.47	0.588946
2916.56	0.596814
2918.53	0.604282
2920.35	0.611
2922.6	0.618756
2924.35	0.626104
2926.61	0.633913
2928.44	0.64106
2930.29	0.648535
2932.67	0.656264
2934.56	0.663504
2936.45	0.670619
2938.61	0.678573
2940.59	0.68584
2942.57	0.692928
2944.41	0.700514
2946.65	0.70803
2948.81	0.715849
