Frequency - Phase	Phase - Phase
1800.14	29.704
1801.98	29.7385
1804.03	29.6653
1806.09	29.6496
1808.13	-209.636
1810	29.6343
1812.02	29.6469
1814.05	29.637
1816.15	29.6624
1817.99	29.6454
1820.03	-209.364
1822.05	29.6881
1824.2	29.7346
1825.97	29.6406
1828.08	-209.378
1830.01	29.5519
1831.97	29.684
1833.94	-209.485
1836.1	29.6912
1838.06	-209.514
1839.95	29.7627
1841.93	29.6819
1844.05	-209.524
1846.05	29.6254
1848.02	29.7754
1850	29.6426
1852.02	29.5497
1854.18	-209.377
1855.93	29.6712
1858.04	29.7846
1860.03	29.6857
1862.16	29.655
1863.95	-209.554
1866.02	29.7122
1868.13	-209.428
1869.88	29.6356
1871.96	29.6318
1874.06	29.6754
1876.14	29.6298
1877.98	29.6991
1880.05	29.688
1882.09	29.644
1884.1	29.6726
1886.01	29.7315
1887.93	29.6305
1890.07	29.6481
1892.06	-209.507
1893.9	29.7065
1896.02	29.7035
1898.02	29.7043
1900.07	-209.455
1902.03	29.6886
1904.03	29.6694
1906.08	29.6628
1907.91	-209.618
1909.98	29.6629
1911.98	29.6885
1913.99	29.7243
1915.96	29.6662
1918.03	29.6486
1919.95	29.6765
1922.14	-209.481
1923.94	29.802
1925.97	29.6637
1928.05	29.6649
1930.11	29.6631
1932.03	29.8196
1934	29.6421
1936.05	29.5649
1938.06	-209.532
1940.02	29.6872
1941.99	29.7951
1944.08	29.6293
1946.05	-209.518
1947.97	29.8277
1950.07	29.6528
1952.15	-209.434
1953.95	29.7489
1956	29.8311
1958.13	29.6667
1960.11	29.6472
1961.85	29.6459
1964.04	29.6506
1966.07	29.6459
1968.19	-209.458
1970.04	29.7066
1972.01	29.7918
1974.07	29.6792
1976.09	29.5945
1977.96	29.6276
1979.96	29.8288
1982.03	29.6723
1984	29.7243
1985.94	-209.463
1988.05	-209.397
1990.07	29.6932
1991.94	29.7134
1993.98	29.7111
1995.98	29.695
1998.15	29.7028
1999.89	29.778
2001.92	150.586
2004.03	29.6763
2006.03	150.495
2007.9	29.7047
2010	29.8049
2012.1	29.6767
2014.12	150.521
2015.98	150.596
2017.99	29.8342
2020.08	150.399
2022.09	29.7596
2023.92	29.697
2026.08	29.7608
2028.12	29.6549
2029.93	150.475
2032.08	29.7108
2034.04	29.7011
2036.08	150.533
2037.9	29.6297
2039.92	150.586
2042.05	29.6843
2044.1	29.6434
2045.98	29.734
2047.97	150.481
2050.05	150.461
2052.02	29.7108
2053.9	150.44
2056.01	29.6937
2058.03	29.7169
2060.09	150.527
2061.96	150.504
2063.97	150.53
2066.09	150.537
2067.9	29.676
2069.97	29.6689
2071.94	150.627
2074.09	29.6895
2075.92	29.6855
2077.98	29.7717
2080.03	29.7498
2082.03	29.6959
2083.9	29.6758
2086.04	29.6478
2088.05	29.7874
2090.09	29.8151
2091.95	29.6805
2094.03	29.6702
2096.11	150.629
2098.17	29.678
2099.98	29.6367
2102.03	29.6841
2104.03	150.613
2106.1	150.554
2108.01	29.8027
2110.07	29.6985
2112.07	29.6738
2113.9	29.7035
2116.03	150.463
2117.97	29.6764
2120.12	150.496
2121.94	150.599
2124.02	29.7363
2125.99	29.6971
2128.09	29.6858
2129.91	29.7602
2131.96	150.545
2134.07	29.8074
2136.09	29.7166
2137.96	29.7625
2140.01	29.7884
2142.08	150.579
2144.1	29.731
2145.97	29.7026
2147.97	150.557
2150.07	29.775
2151.98	29.6638
2154.05	29.7135
2155.95	150.661
2158.06	29.7265
2159.96	150.502
2161.99	29.6738
2163.97	29.7468
2166.07	29.6753
2167.92	150.545
2170	29.7253
2172.02	29.7489
2174.12	29.6857
2175.91	29.6803
2178.04	29.6928
2180.04	29.7338
2182.1	29.6905
2183.94	150.433
2186.03	29.7062
2188.03	29.6946
2189.89	29.6793
2192.01	29.7499
2194.03	29.6603
2196.09	29.722
2197.93	29.7941
2200.02	150.53
2202.02	29.7022
2204.08	29.7221
2205.93	29.6501
2207.99	150.584
2210.05	29.701
2212.14	150.433
2213.92	29.8059
2215.96	29.7757
2218.07	150.545
2220.15	29.7265
2221.99	29.6893
2224	29.6694
2226.08	29.6643
2227.96	29.7413
2229.97	150.583
2232.01	29.7859
2234.03	150.633
2235.9	29.6645
2237.95	150.574
2240	29.742
2242.08	29.7066
2243.93	29.7963
2245.97	29.7919
2248.08	29.6909
2250.1	29.8209
2252	29.7697
2254.03	29.7863
2256.07	29.6904
2258.1	150.638
2259.99	150.547
2261.99	150.452
2264.1	29.666
2265.88	29.7283
2267.95	29.8326
2269.99	29.7751
2272.07	150.514
2273.97	29.6616
2276.01	29.6814
2278.04	29.6844
2280.08	29.6545
2281.93	29.6985
2284.01	150.565
2286.01	150.604
2288.17	29.7731
2289.94	29.7109
2292.09	29.6685
2294.07	150.57
2296.09	29.6847
2297.99	29.8181
2300	150.518
2302.06	29.7052
2304.08	29.7264
2305.99	29.7587
2308.03	29.843
2310.09	29.7636
2311.9	29.7727
2314.05	29.6968
2316.01	150.523
2318.05	150.489
2319.94	29.6896
2322	29.7622
2324	29.8426
2326.11	150.601
2327.97	29.6751
2329.99	29.6982
2332.06	29.7224
2334.07	29.6928
2335.96	29.7438
2338.03	29.6762
2340.03	29.8091
2342.15	29.7401
2343.97	29.7352
2346.03	150.496
2348.12	29.6461
2349.94	29.7633
2352.03	29.6916
2353.99	150.429
2356.08	29.7195
2357.91	29.6553
2359.98	150.523
2362.06	29.6698
2364.06	150.616
2365.98	150.533
2368	29.7056
2370.04	29.7753
2372.08	29.7075
2373.93	29.7542
2375.99	29.6399
2378.06	29.7093
2380.1	150.648
2381.99	29.6964
2384.01	29.8644
2386.07	29.8721
2387.93	150.725
2390.07	29.7671
2392.04	29.7781
2394.13	150.516
2395.96	29.7604
2397.98	29.8774
2400.09	29.8514
2402.03	29.7754
2403.96	29.7307
2405.93	29.7665
2408.05	29.8388
2410.17	29.7684
2411.95	29.6943
2414.01	29.7949
2416.01	29.7899
2418.09	150.602
2419.99	29.7024
2422.05	29.6876
2424.02	29.6966
2425.93	29.7484
2428.01	150.562
2430	29.67
2432.11	29.6731
2433.92	29.8715
2436.02	150.609
2438.01	29.841
2440.09	29.7226
2441.95	29.724
2443.94	29.663
2446.08	29.6799
2448.11	29.8712
2449.91	29.717
2451.97	29.6956
2454.08	29.7568
2456.11	-209.348
2457.97	29.6955
2460	29.8486
2462.07	-209.494
