Frequency - Amplitude	Voltage amplitude - Amplitude
7400.04	1.89331
7420.04	1.8935
7439.96	1.89324
7460.12	1.89351
7480.09	1.89349
7500	1.89345
7520.04	1.89336
7540.11	1.89369
7560.01	1.89346
7580.11	1.89329
7600.02	1.89358
7620.15	1.89345
7640.07	1.89366
7660.05	1.89346
7680.17	1.89357
7700.05	1.89324
7720.01	1.89375
7740.07	1.89363
7760.01	1.89367
7780.13	1.89382
7800.06	1.89372
7819.98	1.89398
7840.08	1.89414
7860.07	1.89398
7879.98	1.89384
7900.1	1.8937
7920.06	1.89377
7940.14	1.89363
7960.05	1.89367
7979.94	1.89419
8000.12	1.89415
8020.04	1.894
8040.04	1.89406
8060.07	1.89397
8080.03	1.89424
8100.15	1.89403
8120.07	1.89425
8139.98	1.89433
8160.11	1.8941
8180.04	1.89386
8200.03	1.89409
8220.17	1.8941
8240.1	1.89401
8260.13	1.89412
8280.04	1.8941
8299.99	1.89409
8320.13	1.89411
8340.12	1.89431
8359.99	1.89432
8380.13	1.89423
8400.04	1.89419
8420.18	1.89398
8440.1	1.894
8460.03	1.89413
8480.11	1.89418
8500.09	1.89444
8519.97	1.89426
8540.13	1.89417
8559.96	1.89432
8580.04	1.89423
8600.07	1.89407
8619.95	1.89429
8640.1	1.89407
8660.04	1.89415
8680.04	1.89426
8720.09	1.89396
8740.16	1.89419
8760.13	1.89426
8780.06	1.89441
8800.12	1.89436
8820.13	1.89457
8839.95	1.89457
8860.12	1.89418
8880.03	1.89443
8900.21	1.89441
8920.13	1.89411
8939.99	1.89443
8960.2	1.89415
8980.08	1.89405
9000.01	1.89444
9020.13	1.89426
9040.07	1.89446
9060.2	1.89422
9080.07	1.89384
9099.97	1.89403
9120.12	1.89427
9140.08	1.89411
9160.02	1.89397
9180.1	1.89401
9200.07	1.89412
9219.9	1.89417
9240.15	1.89394
9260.04	1.89416
9280.16	1.89397
9300.1	1.89391
9319.95	1.89409
9340.18	1.89405
9360.06	1.89427
9380.03	1.89396
9400.12	1.89389
9420.02	1.89384
9440.12	1.89386
9460.04	1.89382
9480.03	1.89379
9500.12	1.89382
9520.17	1.89402
9540.01	1.89397
9560.19	1.89358
9580.02	1.89337
9600.18	1.89382
9620.11	1.89361
9660.12	1.89379
9680.05	1.89384
9699.96	1.8936
9720.16	1.8933
9740.02	1.89359
9760.14	1.8935
9780.1	1.89346
9800.06	1.89352
9820.1	1.89361
9840.08	1.89361
9859.94	1.89358
9880.09	1.89341
9900.04	1.89347
9920.25	1.89339
9940.06	1.89341
9960.01	1.89327
9980.07	1.89315
10000	1.89346
10020	1.89333
10040.1	1.8934
10060.1	1.89341
10080.2	1.89339
10100.1	1.89323
10120.1	1.89317
10140.2	1.89309
10160.1	1.89334
10180	1.89302
10200.1	1.89301
10220.1	1.89299
10240.2	1.89316
10260.1	1.89302
10280	1.89266
10300.1	1.89307
10320.1	1.89288
10340	1.89283
10360.1	1.89282
10380	1.89293
10400.2	1.89266
10420.1	1.89254
10440.1	1.89276
10460.2	1.89251
10480.1	1.89266
10500	1.89269
10520.1	1.8924
10560.2	1.89259
10580.1	1.89246
10600	1.89236
10620.2	1.89224
10640.1	1.89219
10660.1	1.89229
10680.2	1.8922
10700	1.89206
10720.2	1.89224
10740.1	1.89225
10760	1.89223
10780.2	1.89236
10800.1	1.8921
10820	1.89198
10840.1	1.89202
10860.1	1.89165
10880.2	1.89177
10900.1	1.89192
10920	1.89183
10940.1	1.89189
10960.1	1.89149
10980	1.89172
11000.1	1.89142
11020.1	1.89181
11040.2	1.89167
11060.1	1.89147
11080	1.89144
11100.1	1.89138
11120.1	1.89115
11140.1	1.89128
11160.2	1.89124
11180.1	1.89108
11200.1	1.89131
11220.1	1.89114
11240.1	1.89105
11260.2	1.891
11280.1	1.89106
11300	1.89093
11320.1	1.89092
11340	1.89067
11360.2	1.8907
11380.1	1.89055
11400.1	1.89058
11420.1	1.8905
11440.1	1.89045
11459.9	1.89046
11480.2	1.89036
11500.1	1.89028
11520.2	1.89014
11540.1	1.89021
11560.1	1.89022
11580.1	1.88986
11600.1	1.88976
11620	1.88998
11640.1	1.8899
11660.1	1.88986
11680.1	1.88974
11700.2	1.88954
11720	1.88966
11740.2	1.8895
11760.1	1.8894
11780	1.88951
11800.1	1.88968
11820	1.88954
11840.2	1.88922
11860	1.88929
11880.1	1.88902
11900.1	1.88873
