Frequency - Phase	Phase - Phase
1800.03	131.198
1801.01	30.1265
1801.98	30.0663
1803.08	-209.886
1803.98	30.1207
1805.16	-209.752
1806.09	-209.884
1807.01	29.9795
1808.12	-209.918
1809.04	30.0334
1809.96	30.0956
1811.09	-209.916
1812	29.9601
1812.93	30.1209
1814.14	30.105
1814.98	30.1342
1816.09	30.09
1817.05	-209.891
1817.96	-209.946
1819.08	30.0424
1820.07	30.0222
1820.96	30.118
1822.08	30.1135
1823.05	29.972
1824.1	29.9366
1825.04	30.0027
1825.97	29.9225
1827.14	-209.958
1828.03	29.9487
1828.96	30.0067
1830.11	29.9815
1831.05	30.0158
1831.98	-209.921
1833.08	30.0022
1834.04	30.1022
1835.11	29.9851
1836.01	30.015
1836.94	-209.923
1838.16	-209.836
1838.96	30.1074
1840	30.1554
1841.16	29.9638
1841.97	30.105
1843.13	30.117
1844.11	30.0038
1844.99	30.0683
1846.15	-209.893
1847.12	29.9608
1847.96	30.0063
1849.07	30.0856
1850.06	30.0233
1850.89	29.963
1852.07	30.0466
1853.04	-209.768
1854.06	29.9656
1855.07	29.944
1855.99	30.0904
1857.15	-209.819
1858.05	29.977
1858.96	30.031
1860.04	-209.85
1860.98	-209.808
1862.13	29.9648
1863.11	29.9623
1864.09	-209.886
1865.13	29.8711
1866.01	-209.829
1866.95	29.9719
1868.08	29.9608
1869.05	30.0561
1869.92	30.113
1871.04	29.9875
1871.93	29.9707
1873.1	29.9687
1874	29.9795
1875.02	-209.932
1876.04	30.0113
1877.12	-209.923
1878	30.0728
1879	29.9894
1879.99	30.1697
1881.16	30.1205
1882.06	30.0622
1883.02	30.066
1884.16	-209.724
1885.05	29.9558
1885.97	-209.886
1887.14	30.0968
1888.02	29.9905
1888.92	30.0075
1890.07	30.0846
1890.98	29.8835
1892.08	29.9475
1893	30.0516
1893.91	-209.856
1895.11	30.0698
1896.01	-209.872
1896.91	29.9729
1898.02	29.9572
1898.95	30.0465
1900.16	-209.888
1901.2	30.0405
1902.02	-209.853
1903.13	29.9508
1904.1	30.1317
1905	29.9984
1906.09	29.9802
1907.05	30.0922
1908.02	29.9458
1909.02	30.0076
1910.06	29.9749
1911.02	30.0313
1912.02	-209.858
1913.01	30.1224
1914.11	30.0588
1914.96	29.9737
1915.97	-209.782
1917	-209.951
1917.98	29.9451
1919.1	30.0931
1920.08	30.068
1921.03	29.9649
1921.99	29.9932
1923.02	30.065
1923.94	30.1071
1925.09	29.9915
1925.98	30.1368
1927.18	30.088
1928.08	-209.863
1929.04	-209.858
1930.09	29.9912
1931.08	-209.828
1931.94	-209.89
1933.05	30.1172
1934.05	-209.897
1934.96	30.0587
1936.06	-209.9
1936.98	30.1247
1938.15	30.0339
1939.08	30.05
1939.96	30.1521
1941.13	30.1237
1942.07	-209.844
1942.99	30.1246
1944.12	30.1175
1945.03	30.1458
1946.12	30.0341
1947.07	29.9407
1947.99	-209.833
1949.11	-209.881
1949.97	29.9784
1951.03	30.0881
1952.05	-209.871
1953.05	-209.911
1953.95	30.1361
1955.11	29.9866
1955.91	30.1042
1957.13	-209.866
1958.04	30.028
1959.03	29.9235
1960.07	29.9984
1961.05	-209.849
1961.91	-209.907
1963.12	-209.832
1963.95	30.1265
1965.18	30.0945
1966.01	30.1053
1966.97	-209.935
1968.21	30.0165
1969.05	30.0663
1969.9	29.9375
1971	30.0155
1971.99	30.1169
1972.98	30.1177
1974.09	29.9891
1974.97	29.9577
1976.08	29.977
1976.99	-209.921
1977.99	-209.767
1979.07	30.0504
1979.97	30.0831
1980.98	30.1352
1982.1	30.0234
1982.99	-209.873
1983.99	-209.869
1985.01	30.0183
1986.03	30.1175
1987.09	-209.897
1987.95	30.12
1988.9	30.1346
1990.05	-209.877
1990.9	30.1138
1991.91	30.0867
1993.07	30.0052
1993.93	30.045
1995.02	30.0079
1995.95	30.0987
1996.91	30.0772
1998.04	29.9526
1998.97	-209.74
1999.93	-209.84
2001.03	29.9573
2001.96	29.9875
2003.09	30.1326
2004.01	30.1417
2005.03	30.1446
2006.07	150.145
2007.02	29.9462
2008	30.0199
2009.09	150.147
2010.02	150.185
2010.9	30.146
2012.02	30.1118
2012.9	30.0072
2014.16	30.1002
2015.04	29.9951
2015.9	150.16
2017.05	29.9817
2017.98	30.147
2018.98	30.0715
2020.03	150.165
2020.99	150.222
2022.11	150.161
2023	30.0983
2024.03	29.9312
2025	30.0761
2026.06	30.0316
2026.95	30.0128
2027.96	30.1177
2028.99	150.086
2030.01	30.0618
2031.02	150.119
2032.11	30.1519
2033.11	150.216
2033.97	150.268
2034.93	30.023
2035.98	30.0078
2037	150.234
2037.91	29.9677
2039.12	150.156
2039.05	30.1655
2041.12	30.0723
2042.08	150.164
2042.95	30.0103
2044.03	29.9667
2044.93	30.1228
2045.91	30.0448
2047.09	150.187
2048	30.1577
2048.97	30.1001
2050.09	29.9851
2050.91	150.149
2052.13	150.235
2053	30.0245
2054.03	30.076
2055.03	150.093
2055.99	150.16
2057	30.0351
2058.05	30.064
2059	30.09
2060.09	30.1232
2061.09	29.9898
2061.99	30.1389
2063.02	150.199
2064.02	30.1329
2064.93	30.0218
2066.08	30.1627
2067.05	30.0633
2067.88	150.108
2069.03	30.1089
2070.06	30.0135
2071.09	30.1102
2072.05	30.0434
2072.94	30.0964
2074.11	30.0072
2074.98	150.118
2075.98	150.144
2077.12	30.118
2077.99	30.1433
2079.04	150.227
2079.98	150.169
2080.92	29.948
2082.1	29.9819
2083.01	29.9615
2083.93	29.984
2085.05	30.007
2085.99	30.0575
2086.9	30.0181
2088.1	29.979
2088.89	30.0309
2090.11	29.9928
2091.04	29.9788
2092	29.952
2093.18	30.047
2094.02	29.996
2094.94	30.1763
2096.08	30.1534
2096.97	30.0939
2098.12	30.0287
2099.03	150.161
2100.03	30.0219
2101.05	30.0295
2102.06	150.246
2102.92	150.102
2104.11	150.177
2105.01	30.0818
2106.14	30.0233
2107.06	150.124
2107.97	30.0589
2109.05	150.262
2110.06	29.9955
2111	29.9401
2112.07	29.9614
2113.06	30.0572
2113.94	29.9908
2115.05	30.0637
2115.94	30.1379
2117.05	30.1316
2118.1	30.0444
2118.98	30.0489
2120.16	30.0592
2121.07	30.1661
2121.98	30.1422
2123.04	30.1296
2123.95	30.0435
2125.13	150.141
2126.07	30.069
2126.9	30.1186
2128.11	30.0164
2129.02	30.1002
2129.94	150.199
2131.06	150.134
2132	29.9577
2132.99	30.1568
2134.05	30.0849
2135.02	30.152
2136.12	150.193
2137.01	30.1097
2137.96	150.152
2139.11	30.0567
2139.96	30.1187
2140.95	29.9487
2142.06	29.9757
2143.03	29.9455
2144.07	150.124
2145.06	150.221
2145.94	29.9912
2147.05	150.168
2148.05	30.1013
2148.96	30.1521
2150.07	30.1266
2151.02	30.1615
2151.93	150.134
2153.08	29.9585
2153.99	30.0554
2155.11	30.1191
2156.12	30.0698
2156.92	150.174
2158.07	30.0582
2159.08	29.9972
2160.01	29.9818
2161.05	30.119
2161.99	30.0548
2163.11	150.224
2164.02	29.9798
2165.02	30.0103
2166.12	30.1923
2166.95	30.1329
2167.95	29.9753
2169.07	29.9947
2169.97	150.096
2171.01	30.1288
2172.09	30.1705
2172.92	29.9858
2174.11	30.1126
2175.04	30.0269
2175.98	30.1332
2177.04	30.0572
2178.04	30.0107
2178.95	30.0079
2180.09	150.175
2181.09	29.9138
2182.11	150.138
2183.03	30.0046
2183.89	30.0378
2185.16	150.188
2186.05	30.0599
2187	30.0136
2188.08	30.099
2188.95	29.9987
2189.95	150.077
2191.05	150.157
2192	30.1174
2193.1	150.258
2194.03	30.1589
2194.94	30.1621
2196.14	30.1395
2196.98	150.106
2197.91	30.1566
2198.98	30.0709
2199.96	30.0797
2201.08	150.182
2201.99	29.9997
2203.01	30.0575
2204.11	150.137
2205.02	150.226
2205.93	30.0309
2207.05	150.107
2208	29.9784
2208.93	30.0386
2210.04	150.133
2210.95	30.0715
2212.13	29.9227
2213.05	30.0765
2213.96	30.101
2215.06	30.0005
2215.96	150.22
2216.92	30.1384
2218.09	30.0994
2218.99	30.0381
2220.07	150.136
2221.05	150.136
2221.99	30.1658
2223.1	30.0426
2224.02	150.274
2224.93	30.1349
2226.06	150.14
